nome, url, hf_hub_id, arquitetura, num_param, escala, tipo_treinamento, dataset
coatnet_nano_rw_224.sw_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights-maxx/coatnet_nano_rw_224_sw-f53093b4.pth,timm/coatnet_nano_rw_224.sw_in1k,coatnet_nano_rw_224,15141244,small,TRAINING_TYPE,ImageNet-1K
coatnet_rmlp_1_rw2_224.sw_in12k,,timm/coatnet_rmlp_1_rw2_224.sw_in12k,coatnet_rmlp_1_rw2_224,50045971,base,TRAINING_TYPE,DATASET
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,,timm/coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,coatnet_rmlp_1_rw2_224,41724622,base,TRAINING_TYPE,ImageNet-1K
coatnet_rmlp_1_rw_224.sw_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights-maxx/coatnet_rmlp_1_rw_224_sw-9051e6c3.pth,timm/coatnet_rmlp_1_rw_224.sw_in1k,coatnet_rmlp_1_rw_224,41691982,base,TRAINING_TYPE,ImageNet-1K
coatnet_rmlp_2_rw_224.sw_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights-maxx/coatnet_rmlp_2_rw_224_sw-5ccfac55.pth,timm/coatnet_rmlp_2_rw_224.sw_in1k,coatnet_rmlp_2_rw_224,73881264,base,TRAINING_TYPE,ImageNet-1K
coatnet_rmlp_2_rw_224.sw_in12k,,timm/coatnet_rmlp_2_rw_224.sw_in12k,coatnet_rmlp_2_rw_224,84972789,base,TRAINING_TYPE,DATASET
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,,timm/coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,coatnet_rmlp_2_rw_224,73881264,base,TRAINING_TYPE,ImageNet-1K
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,,timm/coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,coatnet_rmlp_2_rw_384,73881264,base,TRAINING_TYPE,ImageNet-1K
coatnet_rmlp_nano_rw_224.sw_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights-maxx/coatnet_rmlp_nano_rw_224_sw-bd1d51b3.pth,timm/coatnet_rmlp_nano_rw_224.sw_in1k,coatnet_rmlp_nano_rw_224,15145116,small,TRAINING_TYPE,ImageNet-1K
coatnext_nano_rw_224.sw_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights-maxx/coatnext_nano_rw_224_ad-22cb71c2.pth,timm/coatnext_nano_rw_224.sw_in1k,coatnext_nano_rw_224,14701244,small,TRAINING_TYPE,ImageNet-1K
